Dose in ,Sclera:1_1266, 178.101, nanoGy 
Dose in ,Sclera:1_2223, 189.537, nanoGy 
Dose in ,Glaskörper:1_4511, 0, picoGy 
Dose in ,Netzhaut:1_638, 68.1445, nanoGy 
Dose in ,Glaskörper:1_3295, 98.901, nanoGy 
Dose in ,Choroidea:1_1074, 410.717, nanoGy 
Dose in ,Choroidea:1_173, 219.075, nanoGy 
Dose in ,Sclera:1_1919, 234.383, nanoGy 
Dose in ,Glaskörper:1_1482, 67.1522, nanoGy 
Dose in ,Glaskörper:1_943, 0, picoGy 
Dose in ,Choroidea:1_89, 424.627, nanoGy 
Dose in ,Sclera:1_280, 299.866, nanoGy 
Dose in ,Choroidea:1_615, 177.66, nanoGy 
Dose in ,Applikator:1_668, 321.827, nanoGy 
Dose in ,Glaskörper:1_5182, 92.4191, nanoGy 
Dose in ,Choroidea:1_1712, 288.337, nanoGy 
Dose in ,Netzhaut:1_78, 228.055, nanoGy 
Dose in ,Netzhaut:1_1593, 97.4314, nanoGy 
Dose in ,Glaskörper:1_2835, 0, picoGy 
Dose in ,Glaskörper:1_5196, 0, picoGy 
Dose in ,Choroidea:1_1706, 0, picoGy 
Dose in ,Glaskörper:1_4288, 388.408, picoGy 
Dose in ,Netzhaut:1_1587, 61.8872, nanoGy 
Dose in ,Glaskörper:1_2821, 0, picoGy 
Dose in ,Perifovea:1_4, 0, picoGy 
Dose in ,Sclera:1_294, 140.48, nanoGy 
Dose in ,Choroidea:1_601, 169.862, nanoGy 
Dose in ,Choroidea:1_167, 116.511, nanoGy 
Dose in ,Glaskörper:1_1496, 100.402, nanoGy 
Dose in ,Glaskörper:1_957, 53.6891, nanoGy 
Dose in ,Sehnerv:1_618, 0, picoGy 
Dose in ,Glaskörper:1_5828, 138.092, nanoGy 
Dose in ,Glaskörper:1_3281, 244.408, nanoGy 
Dose in ,Choroidea:1_1060, 164.273, nanoGy 
Dose in ,Applikator:1_132, 0, picoGy 
Dose in ,Sclera:1_1925, 157.955, nanoGy 
Dose in ,Cornea:1_94, 44.4549, nanoGy 
Dose in ,Netzhaut:1_604, 296.241, nanoGy 
Dose in ,Glaskörper:1_5800, 42.9668, nanoGy 
Dose in ,Sehnerv:1_630, 0, picoGy 
Dose in ,Choroidea:1_1048, 2.89779, microGy
Dose in ,Sehnerv:1_156, 0, picoGy 
Dose in ,Sclera:1_2592, 109.954, nanoGy 
Dose in ,Glaskörper:1_2809, 115.244, nanoGy 
Dose in ,Netzhaut:1_162, 1.46546, nanoGy 
Dose in ,Netzhaut:1_44, 57.3924, nanoGy 
Dose in ,Choroidea:1_2227, 126.677, nanoGy 
Dose in ,Choroidea:1_629, 79.8611, nanoGy 
Dose in ,Applikator:1_654, 0, picoGy 
Dose in ,Applikator:1_898, 0, picoGy 
Dose in ,Choroidea:1_2233, 0, picoGy 
Dose in ,Applikator:1_640, 203.547, nanoGy 
Dose in ,Sehnerv:1_142, 55.5674, nanoGy 
Dose in ,Sclera:1_2586, 135.139, nanoGy 
Dose in ,Netzhaut:1_50, 0, picoGy 
Dose in ,Netzhaut:1_176, 155.295, nanoGy 
Dose in ,Netzhaut:1_610, 891.324, nanoGy 
Dose in ,Sehnerv:1_624, 0, picoGy 
Dose in ,Glaskörper:1_5814, 0, picoGy 
Dose in ,Applikator:1_126, 119.823, nanoGy 
Dose in ,Sclera:1_1931, 107.708, nanoGy 
Dose in ,Cornea:1_80, 0, picoGy 
Dose in ,Glaskörper:1_1535, 116.163, nanoGy 
Dose in ,Sclera:1_1676, 198.981, nanoGy 
Dose in ,Sclera:1_451, 397.834, nanoGy 
Dose in ,Glaskörper:1_3322, 103.196, nanoGy 
Dose in ,Netzhaut:1_1342, 394.918, nanoGy 
Dose in ,Glaskörper:1_5753, 89.2682, nanoGy 
Dose in ,Netzhaut:1_957, 0, picoGy 
Dose in ,Glaskörper:1_5035, 96.4811, nanoGy 
Dose in ,Netzhaut:1_1424, 316.582, nanoGy 
Dose in ,Glaskörper:1_2982, 0, picoGy 
Dose in ,Sclera:1_2419, 220.944, nanoGy 
Dose in ,Glaskörper:1_3444, 115.746, nanoGy 
Dose in ,Sehnerv:1_63, 0, picoGy 
Dose in ,Sclera:1_337, 272.286, nanoGy 
Dose in ,Applikator:1_907, 21.8254, nanoGy 
Dose in ,Sclera:1_1110, 128.308, nanoGy 
Dose in ,Glaskörper:1_1253, 10.2302, nanoGy 
Dose in ,Sehnerv:1_77, 0, picoGy 
Dose in ,Applikator:1_913, 0, picoGy 
Dose in ,Sclera:1_323, 0, picoGy 
Dose in ,Sclera:1_1104, 352.265, nanoGy 
Dose in ,Netzhaut:1_2139, 45.6106, nanoGy 
Dose in ,Glaskörper:1_6528, 0, picoGy 
Dose in ,Glaskörper:1_1247, 16.5445, nanoGy 
Dose in ,Choroidea:1_8, 323.832, nanoGy 
Dose in ,Glaskörper:1_5021, 0, picoGy 
Dose in ,Netzhaut:1_1430, 53.095, nanoGy 
Dose in ,Glaskörper:1_2996, 0, picoGy 
Dose in ,Choroidea:1_1869, 103.638, nanoGy 
Dose in ,Glaskörper:1_3450, 1.71159, nanoGy 
Dose in ,Glaskörper:1_3336, 74.1593, nanoGy 
Dose in ,Glaskörper:1_4459, 143.741, nanoGy 
Dose in ,Netzhaut:1_1356, 403.743, nanoGy 
Dose in ,Glaskörper:1_5747, 19.6259, nanoGy 
Dose in ,Netzhaut:1_943, 37.1454, nanoGy 
Dose in ,Glaskörper:1_2028, 0, picoGy 
Dose in ,Kammerwasser:1_238, 183.873, nanoGy 
Dose in ,Glaskörper:1_1521, 52.9902, nanoGy 
Dose in ,Glaskörper:1_638, 227.448, nanoGy 
Dose in ,Sclera:1_1662, 76.1482, nanoGy 
Dose in ,Sclera:1_445, 0, picoGy 
Dose in ,Sclera:1_2343, 247.382, nanoGy 
Dose in ,Glaskörper:1_4471, 373.84, nanoGy 
Dose in ,Kammerwasser:1_210, 426.385, nanoGy 
Dose in ,Glaskörper:1_2000, 6.94317, nanoGy 
Dose in ,Glaskörper:1_1509, 93.6247, nanoGy 
Dose in ,Sclera:1_1892, 486.172, nanoGy 
Dose in ,Glaskörper:1_6266, 90.6335, nanoGy 
Dose in ,Glaskörper:1_610, 43.6437, nanoGy 
Dose in ,Choroidea:1_946, 0, picoGy 
Dose in ,Cornea:1_346, 240.793, nanoGy 
Dose in ,Netzhaut:1_2111, 0, picoGy 
Dose in ,Glaskörper:1_6500, 153.268, nanoGy 
Dose in ,Glaskörper:1_176, 0, picoGy 
Dose in ,Choroidea:1_1699, 235.949, nanoGy 
Dose in ,Kammerwasser:1_576, 23.0486, nanoGy 
Dose in ,Glaskörper:1_2766, 18.594, nanoGy 
Dose in ,Glaskörper:1_5009, 57.8083, nanoGy 
Dose in ,Choroidea:1_1841, 0, picoGy 
Dose in ,Sclera:1_2425, 171.057, nanoGy 
Dose in ,Glaskörper:1_4317, 0, picoGy 
Dose in ,Netzhaut:1_1418, 0, picoGy 
Dose in ,Glaskörper:1_3478, 0, picoGy 
Dose in ,Glaskörper:1_2772, 0, picoGy 
Dose in ,Kammerwasser:1_562, 165.972, nanoGy 
Dose in ,Sclera:1_2431, 0, picoGy 
Dose in ,Choroidea:1_1855, 65.4153, nanoGy 
Dose in ,Glaskörper:1_4303, 73.4455, nanoGy 
Dose in ,Cornea:1_352, 483.906, nanoGy 
Dose in ,Choroidea:1_952, 147.056, nanoGy 
Dose in ,Netzhaut:1_2105, 0, picoGy 
Dose in ,Sclera:1_1138, 170.663, nanoGy 
Dose in ,Glaskörper:1_6514, 133.646, nanoGy 
Dose in ,Glaskörper:1_162, 127.425, nanoGy 
Dose in ,Sclera:1_1886, 104.737, nanoGy 
Dose in ,Glaskörper:1_6272, 60.3648, nanoGy 
Dose in ,Glaskörper:1_604, 132.08, nanoGy 
Dose in ,Sclera:1_479, 139.283, nanoGy 
Dose in ,Sclera:1_2357, 121.925, nanoGy 
Dose in ,Glaskörper:1_4465, 175.717, nanoGy 
Dose in ,Glaskörper:1_2014, 135.278, nanoGy 
Dose in ,Kammerwasser:1_204, 346.963, nanoGy 
Dose in ,Glaskörper:1_5790, 102.589, nanoGy 
Dose in ,Netzhaut:1_994, 56.9003, nanoGy 
Dose in ,Choroidea:1_1100, 70.6387, nanoGy 
Dose in ,Glaskörper:1_5948, 84.3652, nanoGy 
Dose in ,Netzhaut:1_1381, 60.6395, nanoGy 
Dose in ,Glaskörper:1_837, 76.5538, nanoGy 
Dose in ,Sclera:1_492, 429.962, nanoGy 
Dose in ,Glaskörper:1_6299, 117.109, nanoGy 
Dose in ,Glaskörper:1_189, 0, picoGy 
Dose in ,Choroidea:1_761, 83.378, nanoGy 
Dose in ,Glaskörper:1_1290, 0, picoGy 
Dose in ,Glaskörper:1_58, 104.776, nanoGy 
Dose in ,Glaskörper:1_2941, 120.208, nanoGy 
Dose in ,Linse:1_136, 42.8789, nanoGy 
Dose in ,Glaskörper:1_3487, 0, picoGy 
Dose in ,Glaskörper:1_2799, 96.6606, nanoGy 
Dose in ,Kammerwasser:1_589, 556.994, nanoGy 
Dose in ,Choroidea:1_1666, 231.231, nanoGy 
Dose in ,Glaskörper:1_2955, 177.998, nanoGy 
Dose in ,Glaskörper:1_3493, 42.417, nanoGy 
Dose in ,Linse:1_122, 59.8485, nanoGy 
Dose in ,Choroidea:1_1672, 67.0059, nanoGy 
Dose in ,Choroidea:1_775, 262.611, nanoGy 
Dose in ,Applikator:1_708, 562.589, nanoGy 
Dose in ,Glaskörper:1_1284, 117.055, nanoGy 
Dose in ,Glaskörper:1_823, 191.614, nanoGy 
Dose in ,Sclera:1_486, 0, picoGy 
Dose in ,Sclera:1_1879, 362.893, nanoGy 
Dose in ,Glaskörper:1_5784, 102.352, nanoGy 
Dose in ,Netzhaut:1_980, 35.0162, nanoGy 
Dose in ,Choroidea:1_1114, 171.331, nanoGy 
Dose in ,Netzhaut:1_758, 0, picoGy 
Dose in ,Netzhaut:1_1395, 75.873, nanoGy 
Dose in ,Sclera:1_1689, 186.494, nanoGy 
Dose in ,Sclera:1_1851, 0, picoGy 
Dose in ,Glaskörper:1_5974, 234.879, nanoGy 
Dose in ,Sclera:1_2380, 590.56, nanoGy 
Dose in ,Glaskörper:1_0, 0, picoGy 
Dose in ,Netzhaut:1_770, 339.931, nanoGy 
Dose in ,Choroidea:1_1882, 38.9404, nanoGy 
Dose in ,Applikator:1_720, 0, picoGy 
Dose in ,Choroidea:1_2353, 107.026, nanoGy 
Dose in ,Choroidea:1_985, 290.526, nanoGy 
Dose in ,Cornea:1_385, 0, picoGy 
Dose in ,Glaskörper:1_64, 64.6077, nanoGy 
Dose in ,Choroidea:1_749, 46.4639, nanoGy 
Dose in ,Applikator:1_734, 277.148, nanoGy 
Dose in ,Choroidea:1_2347, 138.851, nanoGy 
Dose in ,Cornea:1_391, 306.21, nanoGy 
Dose in ,Choroidea:1_991, 376.912, nanoGy 
Dose in ,Sehnerv:1_88, 0, picoGy 
Dose in ,Glaskörper:1_70, 219.376, nanoGy 
Dose in ,Choroidea:1_1896, 28.5366, nanoGy 
Dose in ,Glaskörper:1_2969, 1.07718, microGy
Dose in ,Choroidea:1_1128, 156.208, nanoGy 
Dose in ,Glaskörper:1_5960, 212.563, nanoGy 
Dose in ,Sclera:1_2394, 210.833, nanoGy 
Dose in ,Netzhaut:1_764, 446.362, nanoGy 
Dose in ,Sclera:1_1845, 53.694, nanoGy 
Dose in ,Glaskörper:1_1051, 55.0053, nanoGy 
Dose in ,Glaskörper:1_348, 3.54083, nanoGy 
Dose in ,Sclera:1_1312, 242.377, nanoGy 
Dose in ,Cornea:1_178, 0, picoGy 
Dose in ,Sclera:1_135, 157.308, nanoGy 
Dose in ,Glaskörper:1_3646, 1.39262, nanoGy 
Dose in ,Netzhaut:1_1626, 98.6941, nanoGy 
Dose in ,Glaskörper:1_4129, 19.1252, nanoGy 
Dose in ,Glaskörper:1_5237, 71.6457, nanoGy 
Dose in ,Glaskörper:1_2558, 167.627, nanoGy 
Dose in ,Glaskörper:1_4897, 105.72, nanoGy 
Dose in ,Glaskörper:1_5551, 255.629, nanoGy 
Dose in ,Netzhaut:1_1140, 46.0747, nanoGy 
Dose in ,Glaskörper:1_3120, 6.20834, nanoGy 
Dose in ,Sclera:1_653, 0, picoGy 
Dose in ,Sclera:1_1474, 263.918, nanoGy 
Dose in ,Glaskörper:1_6058, 103.632, nanoGy 
Dose in ,Glaskörper:1_1737, 37.2701, nanoGy 
Dose in ,Sclera:1_647, 665.705, nanoGy 
Dose in ,Sclera:1_1460, 234.435, nanoGy 
Dose in ,Glaskörper:1_1723, 67.7198, nanoGy 
Dose in ,Glaskörper:1_4883, 58.3902, nanoGy 
Dose in ,Linse:1_58, 0, picoGy 
Dose in ,Glaskörper:1_5545, 327.143, nanoGy 
Dose in ,Sclera:1_2169, 61.5903, nanoGy 
Dose in ,Netzhaut:1_599, 292.826, nanoGy 
Dose in ,Netzhaut:1_1154, 28.8936, nanoGy 
Dose in ,Glaskörper:1_3134, 0, picoGy 
Dose in ,Glaskörper:1_3652, 103.221, nanoGy 
Dose in ,Netzhaut:1_1632, 673.821, nanoGy 
Dose in ,Glaskörper:1_5223, 139.868, nanoGy 
Dose in ,Glaskörper:1_1045, 11.0695, nanoGy 
Dose in ,Sclera:1_1306, 162.005, nanoGy 
Dose in ,Sclera:1_121, 97.4966, nanoGy 
Dose in ,Glaskörper:1_4115, 39.4502, nanoGy 
Dose in ,Sclera:1_2627, 46.6286, nanoGy 
Dose in ,Glaskörper:1_2564, 0, picoGy 
Dose in ,Choroidea:1_2192, 0, picoGy 
Dose in ,Glaskörper:1_374, 112.116, nanoGy 
Dose in ,Cornea:1_144, 418.23, nanoGy 
Dose in ,Sclera:1_109, 0, picoGy 
Dose in ,Sclera:1_1448, 172.174, nanoGy 
Dose in ,Glaskörper:1_412, 32.428, nanoGy 
Dose in ,Glaskörper:1_6064, 47.123, nanoGy 
Dose in ,Applikator:1_287, 324.358, nanoGy 
Dose in ,Linse:1_70, 164.103, nanoGy 
Dose in ,Glaskörper:1_2202, 115.268, nanoGy 
Dose in ,Glaskörper:1_4673, 27.4902, nanoGy 
Dose in ,Sclera:1_2141, 0, picoGy 
Dose in ,Sehnerv:1_585, 0, picoGy 
Dose in ,Linse:1_64, 83.2153, nanoGy 
Dose in ,Glaskörper:1_2216, 252.428, nanoGy 
Dose in ,Glaskörper:1_5579, 47.4169, nanoGy 
Dose in ,Netzhaut:1_1168, 124.238, nanoGy 
Dose in ,Glaskörper:1_4667, 41.1358, nanoGy 
Dose in ,Sclera:1_2155, 216.212, nanoGy 
Dose in ,Sehnerv:1_591, 0, picoGy 
Dose in ,Glaskörper:1_3108, 0, picoGy 
Dose in ,Glaskörper:1_406, 74.9298, nanoGy 
Dose in ,Applikator:1_293, 369.77, nanoGy 
Dose in ,Glaskörper:1_6070, 0, picoGy 
Dose in ,Glaskörper:1_1079, 90.0361, nanoGy 
Dose in ,Choroidea:1_2186, 36.9027, nanoGy 
Dose in ,Glaskörper:1_360, 192.713, nanoGy 
Dose in ,Choroidea:1_588, 172.151, nanoGy 
Dose in ,Cornea:1_150, 145.305, nanoGy 
Dose in ,Glaskörper:1_4101, 195.529, nanoGy 
Dose in ,Sclera:1_2633, 93.6924, nanoGy 
Dose in ,Glaskörper:1_2570, 197.224, nanoGy 
Dose in ,Choroidea:1_1464, 146.758, nanoGy 
